,Outlet,String,Label,R.E.1,R.E.2,R.E.3,R.E.4,R.E.5,R.E.tag,TagLabel
570,175," <!WA13><A HREF=""http://www.cis.ksu.edu/~singh/CIS725/olec6""> ascii</A>  <LI> <B> L",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
571,492,"araju</A><P><B> Office Hours:</B> MWF 9:30-10:30, 201 K McLean Hall<P><B> Text Book",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
572,570,xt/htmlContent-length: 1824<HTML><HEAD><TITLE>CSC 506 Home Page</TITLE></HEAD><BODY,1,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooo
573,588,"du</address><h2>Teaching Fellow:</h2><address><!WA14><a href=""http://www.das.harva",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
574,391,"tscape-Commerce/1.12Date: Wednesday, 20-Nov-96 22:46:43 GMTLast-modified: Wednesda",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
575,256, machines are available:<P>  SGI's :             	2244 TMCB (machines of choice).  <,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
576,191,"tp://www.cs.columbia.edu/~mig/cs1003/lecture1/node11.html""> <b>fortune</b> </a></l",1,0,0,1,0,1,ooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooooooooooooooooooo
577,454,"ap>Oct 4<td align=right>17.<td>	NP-complete.  <!WA36><a href=""http://www.cs.uidaho",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
578,381,"mposia          in Applied Mathematics,</i> pages 75-88.  American          Mathem",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
579,180,"day, 20-Nov-96 23:25:12 GMTLast-modified: Monday, 03-Jun-96 12:31:16 GMTContent-le",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
580,88," - Computer Networks </h1>Winter 96  - MWF 1:00-1:50pm, 120 TMCB <P><STRONG>Profes",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
581,41,"nyu.edu/cs/dept_info/course_home_pages/fall96/G22.3033.02/syllabus""> Syllabus</a><br",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyyyooooooooooooooooooooooooooo
582,425,ic Allender</a> </H1><HR><address>   Phone: (908) 445-3629<br>   FAX: (908) 445-053,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
583,320,2:05:32 GMTContent-type: text/htmlContent-length: 1914<HTML><HEADER><TITLE> CPS 130:,1,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyo
584,196,"!WA8><a href=""http://www.cs.bu.edu/courses/cs113/F96/assignments/a6.html"">HW6</a>|",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooooooo
585,564,"10_info/www/18nov.ps"">Mon, 18 Nov</A></LI><LI><!WA11><A HREF=""http://www.csc.ncsu.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
586,597,"nn.edu"">Nabil H. Farhat</A><BR>Updated: Sept. 21, 1995</BODY></HTML>",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
587,325,1.0Content-type: text/html<HTML> <HEAD> <TITLE>CS 575 Home Page</TITLE> </HEAD> <BO,1,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
588,519,"Server: NCSA/1.5.1Last-modified: Tue, 29 Oct 1996 14:16:41 GMTContent-type: text/h",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
589,368,"	<td><!WA53><A HREF=""#ls0320"">20</A></td>	<td><!WA54><A HREF=""#ls0322"">22</A></td>",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
590,459,<H3> http://www.cs.uidaho.edu/~billjunk/courses/cs484/cs484.html<BR> Last updated: ,1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoyyyyyoooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
591,405,"w.CS.Princeton.EDU/courses/archive/spr96/cs126/lec12.ps"">12</a><!WA29><a href=""htt",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooooooooo
592,454," <!WA67><a	      href=""http://www.cs.uidaho.edu/cs101/john/quiz9b.html"">Quiz 9</a>.",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
593,583,"vard.edu/cs/academics/courses/cs141/mt-home96.ps"">1996 Take-home Midterm Exam</a>(<!",1,0,0,1,0,1,ooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooo
594,522,"><p><h2>131 Business Directory</h2><ul><p><li><!WA20><a href=""http://www.industry.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
595,247,"e.<!-- both are Ph.D. from university of Michigan 1984><LI><EM> ""Multimedia Informat",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooyyyyyyyyyyyyooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
596,417,"uctor:</B> Dave Hollinger - 219 Amos Eaton, (518) 276-2860.<BR>e-mail: <I><!WA25><A",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
597,208,"www.bu.edu/faculty/gacs/courses/cs330/hw/09-14/09-14.html"">2</A>,  <!WA4><A NAME=t",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooo
598,110,"ime and Location</u>. Monday and Wednesday,  9-10:15am, OHE Studio D<p><p><u>Instr",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
599,344,"BR>The Wednesday lab, Section 1109, meets from 10:10 - 11:00, NOT 9:05-9:55.<BR>If",0,1,0,0,0,1,ooooooooooooooooooooooyyyyyyyyyyyooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
600,337,"//www.cs.hmc.edu/index.html"">Computer Science</A> 60</h2><h1>Principles of Compute",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
601,191,"Date: Tue, 26 Nov 1996 18:38:08 GMTServer: Apache/1.1.1Conten",0,1,0,0,0,1,ooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
602,386,"2:45:32 GMTLast-modified: Sunday, 13-Oct-96 13:42:34 GMTContent-length: 1059Conten",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
603,130,"tart=""1"">	<Font color=ffafaf size=5>Midterm (7/23/96)</font>	</td>	<td colstart=""2",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
604,382,"e/XMosaic.0.html"">Xmosaic User's Guide</a><li><!WA26><a href=""http://www.princeton",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
605,424,<!WA2><a href=http://www.cs.rutgers.edu/~allender/205/homework>homework.</a> </H1><,0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
606,8,"DT>  <DD><!WA4><A HREF=""http://al.cs.engr.uky.edu:80/~tony/cs650/Mail/late.html"">L",0,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
607,459,"o.edu/~billjunk/images/rainbow.gif""><P></BODY><!WA28><A HREF=""http://www.cs.uidaho",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
608,354,"tuff</H2></A><BR>Extra Problem--Honors HW due <!WA55><A HREF=""http://www.cs.indian",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
609,118,"3f96/assign/assign05.html"">     Tuesday, November 26, Assignment 5 Due at 2PM</A><",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
610,119,"://vip.cs.utsa.edu/classes/cs3733f96/assign/assign05.html"">     Tuesday, December ",1,0,0,1,0,1,oooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooyyyyyyooooooooooooooooooooooooooooooooooooooooooooooooo
611,29,td align=center>24</td>    <td align=center>4 Apr 96</td>    <td align=center>P: 7,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
612,191,"e23.ps""><I>Postscript version</I></A></LI><LI><!WA63><A HREF=""http://www.cs.columb",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
613,224,"Date: Wed, 20 Nov 1996 21:43:38 GMTServer: NCSA/1.5C",0,1,0,0,0,1,ooooooooooooooyyyyyyyooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooo
614,592,"tml#paper"">Term paper</a>        </ul>    <li><!WA12><a href=""http://www.deas.harv",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
615,343,"<!WA60><AHREF=""http://www.cs.indiana.edu/classes/a201/functions.html"">helpful utili",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo
616,397,"p://www.CS.Princeton.EDU/courses/archive/fall96/cs471/p-set-2.html"">2</a> | <!WA32>",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
617,282,"s.dartmouth.edu/images/Dtree.gif"" WIDTH=34 HEIGHT=39> <!WA5><A HREF=""http://www.cs",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
618,439,"Date: Tue, 26 Nov 1996 19:00:06 GMTServer: ",0,1,0,0,0,1,ooooooooooooooyyyyyyyoooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooo
619,492,"7/multiply.C"">plain text</A> 	<LI> Homework 8	<!WA33><A HREF=""http://www.cs.uiowa.",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
620,455,"A/1.4.1Content-type: text/htmlLast-modified: Mon, 11 Nov 1996 20:23:30 GMTContent-",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
621,6,"ut. </h3><!WA5><a href=""http://al.cs.engr.uky.edu:80/~lusena/CS101/email.html""> em",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooo
622,60,"EF=""http://cs.nyu.edu/phd_students/amygreen/C/lec/24/var.c"">Variables / Pointers</",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
623,315,"ll.gif"" ALT=""*""></TD></A><TD ALIGN=center><H1>CPS 100E: (CS1.5 + CS2)</H1></TD><TD ",1,1,0,0,0,1,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyooooooooooooooooooooooooooooo
624,255,              B     83 - 86                 D     53 - 56                  B -   8,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
625,573,"sc.ncsu.edu/eos/info/csc591c_info/www/lectures/10-17/other.html"">Additional inform",1,0,0,1,0,1,oooooooooooooooooooooooyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooooo
626,47,"nyu.edu/cs/dept_info/course_home_pages/fall96/V22.0201.002/prime3.html"">prime3.asm</",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyyyyoooooooooooooooooooooooooo
627,80,"REF=""http://iul.cs.byu.edu/450/node13.html#SECTION03800000000000000000""> Signal Dist",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
628,44,"p://cs.nyu.edu/cs/dept_info/course_home_pages/fall96/G221.2110/PL/homework4Q.ps""> ",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyyoooooooooooooooooooo
629,287,/H4><B>Times:</B> 96F: 10  97W: 11  97F: 10  98W: 11<BR><B>Instructors:</B> <!WA0>,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
630,356,"!WA55><A HREF=""http://www.cs.indiana.edu/classes/c311/exam1.html"">Exam One</A> -- R",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo
631,349,"/A><LI> <A NAME=tex2html6 HREF=""node4.html#SECTION00000040000000000000""> Grading Pol",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
632,512,"on </A><LI> <!WA16><A HREF = ""http://www.loria.fr:80/~zimmerma/maple/""> Maple Serv",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
633,315,">Test 1, Spring 96 in postscript (CPS100)</A> <!WA82><IMG SRC=http://www.cs.duke.e",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooooooooooooooo
634,362,"se newsgroup, <!WA19><A HREF=""news:ac.c.646"">ac.c.646</A>, will beused to post anno",0,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
635,573,"WA72><A HREF=""http://www.csc.ncsu.edu/eos/info/csc591c_info/www/lectures/10-22/ques",1,0,0,1,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooyyyyoooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooo
636,197,ue 3:30pm-5:00pm / Thu 3:30pm-5:00pm  Place: STO B50</PRE><P><HR><P><B>Course Arch,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
637,135,"Date: Wed, 20 Nov 1996 22:40:16 GMTServer: Apache/1.1.0",0,1,0,0,0,1,ooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooo
638,53,"tp://cs.nyu.edu/cs/dept_info/course_home_pages/spr96/G22.2560/fx.txt"">Final exam</",1,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyyooooooooooooooooooooo
639,259,"/TR>   <TR VALIGN=""top"" ALIGN=""left"">	<TD COLSPAN=20></TD>	<!-- These 2 columns oc",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
640,368,"UL><DT> Lecture<DD> Section 2044, MW 4:00-5:15, WH006<BR><DT> Newsgroup<DD> <!WA31>",0,1,0,0,0,1,ooooooooooooooooooooyyyyyyyyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
641,447,=-1></FONT></B></UL><P><B><FONT SIZE=-1>MWF 10:00-10:50 ST306-W</FONT></B><BR></P>,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
642,274,"Date: Tue, 26 Nov 1996 18:38:04 GMTServer: Apache/1.1.1Conten",0,1,0,0,0,1,ooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
643,592,"ttp://www.deas.harvard.edu/cs/academics/courses/cs287r/general.html#comm"">Communica",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyooooooooooooooooooooooooooooo
644,550,rsday 7:00pm - 8:30pm 2C44 ENGIN     <LI>Friday 4:00pm - 5:30pm 2C40 ENGIN     </U,0,0,0,1,0,1,oooooooooooooooooooooooyyyoooooooooooooooooooooooooooooooooooooooyyyoooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
645,212,"0><A href=""http://www.cs.bu.edu/faculty/heddaya/CS111/HW/02.html"">   2</A> -		<!WA1",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
646,248,"tent-length: 18646Last-modified: Tue, 06 Aug 1996 22:17:01 GMT<!DOCTYPE HTML PUBLI",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooyyyyyyyoooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
647,343,"son-Wesley, 1994  &lt;ISBN: 0-201-52649-2&gt;<LI> 10 or more 3.5 inch double or hi",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
648,465,"classes/cs341Handouts.html""> Handouts</A><LI> <!WA11><A HREF=""http://www.cs.uidaho",1,0,0,1,0,1,ooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,ooooooooyyyyyooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
649,368,"eahey</I></DL><A NAME=""ls0424""><DT> <STRONG>April 24</STRONG><DL><DT> <I>Julia Dym",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
650,581," Section</strong><br>There will be a section at 4:00 on Tue, Sep 24 in Aiken G23.P",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
651,264," <li> <!WA7><a href=""http://www.cs.caltech.edu/~cs156/handouts/bounds.html""> Deriva",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
652,411,"er: Netscape-Commerce/1.12Date: Wednesday, 20-Nov-96 22:45:56 GMTLast-modified: Mo",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
653,87,"hould plan to attend one of the ""How to use the cs143 lab"" help sections to find ou",1,0,0,1,0,1,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo,ooooooooooooooooooooooooooooooooooooooooooooooooyyyyyoooooooooooooooooooooooooooooo
654,29,>    <td align=center>27</td>    <td align=center>16 Apr 96</td>    <td align=cent,0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
655,315,"0><A HREF=""http://www.cs.duke.edu/~ola/courses/cps100e/assign/linksort.html"">Progra",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyyooooooooooooooooooooooooooooo
656,362,"Abiteboul, R. Hull, and V. Vianu, Addison Wesley, 1995.<LI><i>Set theory and logic</",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
657,453,"pache/1.0.2Content-type: text/htmlContent-length: 4246Last-modified: Fri, 15 Nov 199",0,1,0,0,0,1,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooyyyyyyy,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
658,540,"WA4><a href=""http://www.cs.uoregon.edu/classes/cis451/readings.html"">Readings</a></",1,0,0,0,0,0,ooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooyyyyyyoooooooooooooooooooooooooooooo
659,228,"roff/courses/cs480-95/h2/h2.html""> H2 </A> (due 3/24), <!WA9><A href=""http://www.c",1,0,0,1,0,1,oooooooooooooyyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooyyyyyoooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
660,30,"ure</td>  </tr>  <tr>    <td>Thursday,  August    29, 1996</td><td>Advisor/Advisee",0,0,0,0,0,0,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo,oooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo
